"","month","State","meanTemp","meanGust","meanRain"
"1","Jan","Australian Capital Territory",20.921916971917,42.6394736842105,1.9970515970516
"2","Jan","New South Wales",25.1698352737181,42.7138202552267,2.86139546727782
"3","Jan","Northern Territory",29.912058423913,46.0457697642164,7.16407103825137
"4","Jan","Queensland",27.6669150858175,38.4487534626039,8.82925045703839
"5","Jan","South Australia",24.6324257425743,45.063233965673,0.761559383499547
"6","Jan","Tasmania",19.2044802867384,45.1597096188748,1.39156193895871
"7","Jan","Victoria",21.9004729996058,44.3853211009174,1.21784860557769
"8","Jan","Western Australia",24.2956725616292,44.1267605633803,0.664289602612956
"9","Feb","Australian Capital Territory",19.5988363363363,39.4055374592834,3.10060606060606
"10","Feb","New South Wales",24.5960187708144,40.3367651942876,3.59882716049383
"11","Feb","Northern Territory",29.640522875817,44.5940099833611,7.623973727422
"12","Feb","Queensland",27.61025,38.2340182648402,9.7097065462754
"13","Feb","South Australia",23.9353055555556,43.0358744394619,0.998204264870932
"14","Feb","Tasmania",18.8615597345133,40.9667405764967,1.08097345132743
"15","Feb","Victoria",21.509012195122,42.5007422068283,1.37115956392468
"16","Feb","Western Australia",24.0206175298805,43.5237377543331,0.719919786096257
"17","Mar","Australian Capital Territory",17.2937661498708,37.9127516778523,2.30091264667536
"18","Mar","New South Wales",22.7529408138101,38.8075067024129,3.56451857467779
"19","Mar","Northern Territory",28.7589784263959,40.5877763328999,4.15262483994878
"20","Mar","Queensland",26.7727682596934,37.992606284658,7.6926162260711
"21","Mar","South Australia",21.2859613656783,40.0503663003663,0.986672710788758
"22","Mar","Tasmania",17.4366039426523,39.9298561151079,1.54332129963899
"23","Mar","Victoria",19.3739910748933,40.6780258519389,1.35219092331768
"24","Mar","Western Australia",22.2234864577801,40.648632218845,0.983413590155163
"25","Apr","Australian Capital Territory",13.123381294964,34.9171597633136,1.8047619047619
"26","Apr","New South Wales",19.7580163043478,35.5303781773094,3.32260793465578
"27","Apr","Northern Territory",25.8216407355021,37.0822510822511,1.53219373219373
"28","Apr","Queensland",24.9421907756813,36.7771911298838,4.22808870116156
"29","Apr","South Australia",18.1345511482255,36.7100840336134,1.35688748685594
"30","Apr","Tasmania",14.5518828451883,38.0337552742616,1.26359832635983
"31","Apr","Victoria",16.1545708538221,38.0386012715713,1.62126410835214
"32","Apr","Western Australia",19.7260876320696,35.680985915493,1.31142498430634
"33","May","Australian Capital Territory",8.83136200716846,36.3272283272283,1.22400960384154
